seed,task,split,episode,constraint_density,novelty,lag,human_motion,contact_mode,sensor_noise,recoverability,hazard_probability,boundary_label,unsafe_action_pressure
0,narrow_gap_navigation,nominal_safety,0,0.582441,0.014428,0.000000,0.153909,0.322175,0.024305,0.549945,0.706751,1,0.912212
0,narrow_gap_navigation,nominal_safety,1,0.661406,0.000000,0.011574,0.064712,0.234220,0.024542,0.551072,0.667171,0,0.833157
0,narrow_gap_navigation,nominal_safety,2,0.616436,0.000000,0.017457,0.135312,0.171385,0.016256,0.581422,0.407992,1,0.489020
0,narrow_gap_navigation,nominal_safety,3,0.632405,0.062235,0.015943,0.183118,0.294977,0.006617,0.536039,0.584497,0,1.000000
0,narrow_gap_navigation,nominal_safety,4,0.624883,0.009536,0.000000,0.207767,0.281084,0.000000,0.606576,0.690531,1,0.847051
0,narrow_gap_navigation,nominal_safety,5,0.609110,0.022817,0.000000,0.059886,0.248563,0.000000,0.521067,0.506829,0,0.935076
0,narrow_gap_navigation,nominal_safety,6,0.591939,0.002340,0.000000,0.152019,0.275930,0.000000,0.591028,0.507694,1,0.887555
0,narrow_gap_navigation,nominal_safety,7,0.506577,0.042889,0.059216,0.159277,0.282118,0.014959,0.532158,0.542943,0,0.754281
0,narrow_gap_navigation,nominal_safety,8,0.585601,0.034740,0.000000,0.066932,0.311326,0.000000,0.516207,0.543347,0,0.811778
0,narrow_gap_navigation,nominal_safety,9,0.648501,0.018690,0.000000,0.074108,0.266201,0.000000,0.560381,0.652741,0,0.875887
0,narrow_gap_navigation,nominal_safety,10,0.567208,0.065255,0.000000,0.221573,0.223335,0.000250,0.579199,0.675426,1,0.843094
0,narrow_gap_navigation,nominal_safety,11,0.586850,0.034610,0.000000,0.052677,0.259822,0.000000,0.553591,0.602662,1,0.964919
0,narrow_gap_navigation,nominal_safety,12,0.603515,0.033370,0.010483,0.138063,0.271915,0.000000,0.479594,0.564007,1,0.769435
0,narrow_gap_navigation,nominal_safety,13,0.570663,0.000000,0.000000,0.071290,0.237672,0.000000,0.541076,0.584064,1,0.857818
0,narrow_gap_navigation,nominal_safety,14,0.653209,0.051510,0.000000,0.111886,0.310981,0.000000,0.560368,0.659077,1,0.974962
0,narrow_gap_navigation,nominal_safety,15,0.550614,0.000000,0.014658,0.017941,0.252156,0.000000,0.518307,0.433967,0,0.583643
0,narrow_gap_navigation,nominal_safety,16,0.557877,0.000000,0.001704,0.083850,0.303342,0.037064,0.628759,0.542323,0,0.754766
0,narrow_gap_navigation,nominal_safety,17,0.619467,0.024709,0.000000,0.085220,0.283915,0.000000,0.531324,0.595128,1,0.838416
0,narrow_gap_navigation,nominal_safety,18,0.630979,0.068515,0.000000,0.094721,0.320936,0.007569,0.541135,0.634872,0,0.745150
0,narrow_gap_navigation,nominal_safety,19,0.609810,0.000000,0.000000,0.129511,0.214139,0.000000,0.592467,0.701925,0,0.926806
